Category,Group,Edition
"DENTISTRY, ORAL SURGERY & MEDICINE",Clinical Medicine,SCIE
"DENTISTRY, ORAL SURGERY & MEDICINE",Clinical Medicine,ESCI
DERMATOLOGY,Clinical Medicine,SCIE
DERMATOLOGY,Clinical Medicine,ESCI
DEVELOPMENT STUDIES,Economics & Business,SSCI
DEVELOPMENT STUDIES,Economics & Business,ESCI
DEVELOPMENTAL BIOLOGY,Biology & Biochemistry,SCIE
DEVELOPMENTAL BIOLOGY,Biology & Biochemistry,ESCI
ECOLOGY,Economics & Business;Environment/Ecology;Plant & Animal Science,SCIE
ECOLOGY,Economics & Business;Environment/Ecology;Plant & Animal Science,ESCI
ECONOMICS,"Economics & Business;Social Sciences, General",SSCI
ECONOMICS,"Economics & Business;Social Sciences, General",ESCI
EDUCATION & EDUCATIONAL RESEARCH,"Multidisciplinary;Social Sciences, General",ESCI
EDUCATION & EDUCATIONAL RESEARCH,"Multidisciplinary;Social Sciences, General",SSCI
"EDUCATION, SCIENTIFIC DISCIPLINES","Multidisciplinary;Social Sciences, General",SCIE
"EDUCATION, SCIENTIFIC DISCIPLINES","Multidisciplinary;Social Sciences, General",ESCI
"EDUCATION, SPECIAL","Social Sciences, General",SSCI
"EDUCATION, SPECIAL","Social Sciences, General",ESCI
ELECTROCHEMISTRY,Chemistry;Physics,SCIE
ELECTROCHEMISTRY,Chemistry;Physics,ESCI
EMERGENCY MEDICINE,Clinical Medicine,SCIE
EMERGENCY MEDICINE,Clinical Medicine,ESCI
ENDOCRINOLOGY & METABOLISM,Clinical Medicine,SCIE
ENDOCRINOLOGY & METABOLISM,Clinical Medicine,ESCI
ENERGY & FUELS,Chemistry;Physics,SCIE
ENERGY & FUELS,Chemistry;Physics,ESCI
"ENGINEERING, AEROSPACE",Engineering;Physics,SCIE
"ENGINEERING, AEROSPACE",Engineering;Physics,ESCI
"ENGINEERING, BIOMEDICAL",Clinical Medicine;Engineering,SCIE
"ENGINEERING, BIOMEDICAL",Clinical Medicine;Engineering,ESCI
"ENGINEERING, CHEMICAL",Chemistry;Engineering,SCIE
"ENGINEERING, CHEMICAL",Chemistry;Engineering,ESCI
"ENGINEERING, CIVIL",Engineering,SCIE
"ENGINEERING, CIVIL",Engineering,ESCI
"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering;Materials Science;Physics,SCIE
"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering;Materials Science;Physics,ESCI
"ENGINEERING, ENVIRONMENTAL",Engineering;Environment/Ecology,SCIE
"ENGINEERING, ENVIRONMENTAL",Engineering;Environment/Ecology,ESCI
"ENGINEERING, GEOLOGICAL",Engineering;Geosciences,SCIE
"ENGINEERING, GEOLOGICAL",Engineering;Geosciences,ESCI
"ENGINEERING, INDUSTRIAL",Engineering,SCIE
"ENGINEERING, INDUSTRIAL",Engineering,ESCI
"ENGINEERING, MANUFACTURING",Engineering;Materials Science,SCIE
"ENGINEERING, MANUFACTURING",Engineering;Materials Science,ESCI
"ENGINEERING, MARINE",Engineering;Physics,SCIE
"ENGINEERING, MARINE",Engineering;Physics,ESCI
"ENGINEERING, MECHANICAL",Engineering;Physics,SCIE
"ENGINEERING, MECHANICAL",Engineering;Physics,ESCI
"ENGINEERING, MULTIDISCIPLINARY",Engineering;Multidisciplinary,SCIE
"ENGINEERING, MULTIDISCIPLINARY",Engineering;Multidisciplinary,ESCI
"ENGINEERING, OCEAN",Engineering;Physics,SCIE
"ENGINEERING, OCEAN",Engineering;Physics,ESCI
"ENGINEERING, PETROLEUM",Chemistry;Engineering,SCIE
"ENGINEERING, PETROLEUM",Chemistry;Engineering,ESCI
ENTOMOLOGY,Biology & Biochemistry,SCIE
ENTOMOLOGY,Biology & Biochemistry,ESCI
ENVIRONMENTAL SCIENCES,Biology & Biochemistry;Multidisciplinary,SCIE
ENVIRONMENTAL SCIENCES,Biology & Biochemistry;Multidisciplinary,ESCI
ENVIRONMENTAL STUDIES,"Economics & Business;Multidisciplinary;Social Sciences, General",SSCI
ENVIRONMENTAL STUDIES,"Economics & Business;Multidisciplinary;Social Sciences, General",ESCI
ERGONOMICS,Multidisciplinary,SSCI
ERGONOMICS,Multidisciplinary,ESCI
ETHICS,"Philosophy & Religion;Social Sciences, General",SSCI
ETHICS,"Philosophy & Religion;Social Sciences, General",ESCI
ETHNIC STUDIES,"Economics & Business;Social Sciences, General",ESCI
ETHNIC STUDIES,"Economics & Business;Social Sciences, General",SSCI
EVOLUTIONARY BIOLOGY,Biology & Biochemistry,SCIE
EVOLUTIONARY BIOLOGY,Biology & Biochemistry,ESCI
FAMILY STUDIES,Multidisciplinary,SSCI
FAMILY STUDIES,Multidisciplinary,ESCI
"FILM, RADIO, TELEVISION",Visual & Performing Arts,AHCI
"FILM, RADIO, TELEVISION",Visual & Performing Arts,ESCI
FISHERIES,Biology & Biochemistry;Engineering,SCIE
FISHERIES,Biology & Biochemistry;Engineering,ESCI
FOLKLORE,"Arts & Humanities, Interdisciplinary;Literature & Language",AHCI
FOOD SCIENCE & TECHNOLOGY,Biology & Biochemistry;Chemistry;Engineering,SCIE
FOOD SCIENCE & TECHNOLOGY,Biology & Biochemistry;Chemistry;Engineering,ESCI
FORESTRY,Economics & Business;Engineering;Environment/Ecology,SCIE
FORESTRY,Economics & Business;Engineering;Environment/Ecology,ESCI
GASTROENTEROLOGY & HEPATOLOGY,Clinical Medicine,SCIE
GASTROENTEROLOGY & HEPATOLOGY,Clinical Medicine,ESCI
GENETICS & HEREDITY,Biology & Biochemistry;Clinical Medicine,SCIE
GENETICS & HEREDITY,Biology & Biochemistry;Clinical Medicine,ESCI
GEOCHEMISTRY & GEOPHYSICS,Chemistry;Geosciences;Physics,SCIE
GEOCHEMISTRY & GEOPHYSICS,Chemistry;Geosciences;Physics,ESCI
GEOGRAPHY,"Economics & Business;Environment/Ecology;Social Sciences, General",SSCI
GEOGRAPHY,"Economics & Business;Environment/Ecology;Social Sciences, General",ESCI
"GEOGRAPHY, PHYSICAL",Geosciences;Multidisciplinary,SCIE
"GEOGRAPHY, PHYSICAL",Geosciences;Multidisciplinary,ESCI
GEOLOGY,Chemistry;Geosciences;Physics,SCIE
GEOLOGY,Chemistry;Geosciences;Physics,ESCI
"GEOSCIENCES, MULTIDISCIPLINARY",Geosciences;Multidisciplinary,SCIE
"GEOSCIENCES, MULTIDISCIPLINARY",Geosciences;Multidisciplinary,ESCI
GERIATRICS & GERONTOLOGY,Clinical Medicine,SCIE
GERIATRICS & GERONTOLOGY,Clinical Medicine,ESCI
GERONTOLOGY,"Psychiatry/Psychology;Social Sciences, General",SSCI
GERONTOLOGY,"Psychiatry/Psychology;Social Sciences, General",ESCI
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environment/Ecology;Multidisciplinary,SCIE
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environment/Ecology;Multidisciplinary,ESCI
GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environment/Ecology;Multidisciplinary,SSCI
HEALTH CARE SCIENCES & SERVICES,"Clinical Medicine;Economics & Business;Social Sciences, General",SCIE
HEALTH CARE SCIENCES & SERVICES,"Clinical Medicine;Economics & Business;Social Sciences, General",ESCI
HEALTH POLICY & SERVICES,"Clinical Medicine;Economics & Business;Social Sciences, General",SSCI
HEALTH POLICY & SERVICES,"Clinical Medicine;Economics & Business;Social Sciences, General",ESCI
HEMATOLOGY,Clinical Medicine,SCIE
HEMATOLOGY,Clinical Medicine,ESCI
HISTORY,History & Archaeology,AHCI
HISTORY,History & Archaeology,ESCI
HISTORY,History & Archaeology,SSCI
HISTORY & PHILOSOPHY OF SCIENCE,"Arts & Humanities, Interdisciplinary;History & Archaeology;Multidisciplinary;Philosophy & Religion",AHCI
HISTORY & PHILOSOPHY OF SCIENCE,"Arts & Humanities, Interdisciplinary;History & Archaeology;Multidisciplinary;Philosophy & Religion",SCIE
HISTORY & PHILOSOPHY OF SCIENCE,"Arts & Humanities, Interdisciplinary;History & Archaeology;Multidisciplinary;Philosophy & Religion",SSCI
HISTORY & PHILOSOPHY OF SCIENCE,"Arts & Humanities, Interdisciplinary;History & Archaeology;Multidisciplinary;Philosophy & Religion",ESCI
HISTORY OF SOCIAL SCIENCES,"History & Archaeology;Multidisciplinary;Social Sciences, General",SSCI
HISTORY OF SOCIAL SCIENCES,"History & Archaeology;Multidisciplinary;Social Sciences, General",ESCI
HORTICULTURE,Agricultural Sciences;Plant & Animal Science,SCIE
HORTICULTURE,Agricultural Sciences;Plant & Animal Science,ESCI
"HOSPITALITY, LEISURE, SPORT & TOURISM","Social Sciences, General",ESCI
"HOSPITALITY, LEISURE, SPORT & TOURISM","Social Sciences, General",SSCI
"HUMANITIES, MULTIDISCIPLINARY","Arts & Humanities, Interdisciplinary",ESCI
"HUMANITIES, MULTIDISCIPLINARY","Arts & Humanities, Interdisciplinary",AHCI
IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,Engineering;Multidisciplinary,SCIE
IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,Engineering;Multidisciplinary,ESCI
IMMUNOLOGY,Clinical Medicine,SCIE
IMMUNOLOGY,Clinical Medicine,ESCI
INDUSTRIAL RELATIONS & LABOR,"Economics & Business;Social Sciences, General",SSCI
INDUSTRIAL RELATIONS & LABOR,"Economics & Business;Social Sciences, General",ESCI
INFECTIOUS DISEASES,Clinical Medicine,SCIE
INFECTIOUS DISEASES,Clinical Medicine,ESCI
INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science;Engineering;Multidisciplinary,SSCI
INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science;Engineering;Multidisciplinary,ESCI
INSTRUMENTS & INSTRUMENTATION,Engineering,SCIE
INSTRUMENTS & INSTRUMENTATION,Engineering,ESCI
INTEGRATIVE & COMPLEMENTARY MEDICINE,Clinical Medicine,SCIE
INTEGRATIVE & COMPLEMENTARY MEDICINE,Clinical Medicine,ESCI
INTERNATIONAL RELATIONS,"Social Sciences, General",SSCI
INTERNATIONAL RELATIONS,"Social Sciences, General",ESCI
LANGUAGE & LINGUISTICS,"Literature & Language;Social Sciences, General",AHCI
LANGUAGE & LINGUISTICS,"Literature & Language;Social Sciences, General",ESCI
LAW,"Multidisciplinary;Social Sciences, General",ESCI
LAW,"Multidisciplinary;Social Sciences, General",SSCI
LIMNOLOGY,Environment/Ecology;Multidisciplinary;Plant & Animal Science,SCIE
LINGUISTICS,"Literature & Language;Multidisciplinary;Social Sciences, General",SSCI
LINGUISTICS,"Literature & Language;Multidisciplinary;Social Sciences, General",ESCI
LITERARY REVIEWS,Literature & Language,AHCI
LITERARY REVIEWS,Literature & Language,ESCI
LITERARY THEORY & CRITICISM,Literature & Language,AHCI
LITERARY THEORY & CRITICISM,Literature & Language,ESCI
LITERATURE,Literature & Language,AHCI
LITERATURE,Literature & Language,ESCI
"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",Literature & Language,AHCI
"LITERATURE, AFRICAN, AUSTRALIAN, CANADIAN",Literature & Language,ESCI
"LITERATURE, AMERICAN",Literature & Language,AHCI
"LITERATURE, AMERICAN",Literature & Language,ESCI
"LITERATURE, BRITISH ISLES",Literature & Language,AHCI
"LITERATURE, BRITISH ISLES",Literature & Language,ESCI
"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",Literature & Language,AHCI
"LITERATURE, GERMAN, DUTCH, SCANDINAVIAN",Literature & Language,ESCI
"LITERATURE, ROMANCE",Literature & Language,AHCI
"LITERATURE, ROMANCE",Literature & Language,ESCI
"LITERATURE, SLAVIC",Literature & Language,AHCI
"LITERATURE, SLAVIC",Literature & Language,ESCI
LOGIC,Computer Science;Mathematics;Multidisciplinary;Philosophy & Religion,SCIE
LOGIC,Computer Science;Mathematics;Multidisciplinary;Philosophy & Religion,ESCI
MANAGEMENT,Economics & Business,SSCI
MANAGEMENT,Economics & Business,ESCI
MARINE & FRESHWATER BIOLOGY,Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,SCIE
MARINE & FRESHWATER BIOLOGY,Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,ESCI
"MATERIALS SCIENCE, BIOMATERIALS",Clinical Medicine;Materials Science,SCIE
"MATERIALS SCIENCE, BIOMATERIALS",Clinical Medicine;Materials Science,ESCI
"MATERIALS SCIENCE, CERAMICS",Materials Science,SCIE
"MATERIALS SCIENCE, CERAMICS",Materials Science,ESCI
"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",Engineering;Materials Science,SCIE
"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",Engineering;Materials Science,ESCI
"MATERIALS SCIENCE, COATINGS & FILMS",Materials Science,SCIE
"MATERIALS SCIENCE, COATINGS & FILMS",Materials Science,ESCI
"MATERIALS SCIENCE, COMPOSITES",Materials Science,SCIE
"MATERIALS SCIENCE, COMPOSITES",Materials Science,ESCI
"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science;Multidisciplinary,SCIE
"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science;Multidisciplinary,ESCI
"MATERIALS SCIENCE, PAPER & WOOD",Materials Science,SCIE
"MATERIALS SCIENCE, PAPER & WOOD",Materials Science,ESCI
"MATERIALS SCIENCE, TEXTILES",Materials Science,SCIE
"MATERIALS SCIENCE, TEXTILES",Materials Science,ESCI
MATHEMATICAL & COMPUTATIONAL BIOLOGY,Biology & Biochemistry;Computer Science;Mathematics,SCIE
MATHEMATICAL & COMPUTATIONAL BIOLOGY,Biology & Biochemistry;Computer Science;Mathematics,ESCI
MATHEMATICS,Mathematics,SCIE
MATHEMATICS,Mathematics,ESCI
"MATHEMATICS, APPLIED",Mathematics,SCIE
"MATHEMATICS, APPLIED",Mathematics,ESCI
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",Mathematics;Multidisciplinary,SCIE
"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",Mathematics;Multidisciplinary,ESCI
MECHANICS,Engineering;Physics,SCIE
MECHANICS,Engineering;Physics,ESCI
MEDICAL ETHICS,"Clinical Medicine;Philosophy & Religion;Social Sciences, General",SCIE
MEDICAL ETHICS,"Clinical Medicine;Philosophy & Religion;Social Sciences, General",ESCI
MEDICAL INFORMATICS,Clinical Medicine;Computer Science,SCIE
MEDICAL INFORMATICS,Clinical Medicine;Computer Science,ESCI
MEDICAL LABORATORY TECHNOLOGY,Clinical Medicine;Engineering,SCIE
MEDICAL LABORATORY TECHNOLOGY,Clinical Medicine;Engineering,ESCI
"MEDICINE, GENERAL & INTERNAL",Clinical Medicine,SCIE
"MEDICINE, GENERAL & INTERNAL",Clinical Medicine,ESCI
"MEDICINE, LEGAL","Clinical Medicine;Social Sciences, General",SCIE
"MEDICINE, LEGAL","Clinical Medicine;Social Sciences, General",ESCI
"MEDICINE, RESEARCH & EXPERIMENTAL",Clinical Medicine,SCIE
"MEDICINE, RESEARCH & EXPERIMENTAL",Clinical Medicine,ESCI
MEDIEVAL & RENAISSANCE STUDIES,"Arts & Humanities, Interdisciplinary;History & Archaeology;Philosophy & Religion",AHCI
MEDIEVAL & RENAISSANCE STUDIES,"Arts & Humanities, Interdisciplinary;History & Archaeology;Philosophy & Religion",ESCI
METALLURGY & METALLURGICAL ENGINEERING,Engineering;Materials Science,SCIE
METALLURGY & METALLURGICAL ENGINEERING,Engineering;Materials Science,ESCI
METEOROLOGY & ATMOSPHERIC SCIENCES,Geosciences;Physics,SCIE
METEOROLOGY & ATMOSPHERIC SCIENCES,Geosciences;Physics,ESCI
MICROBIOLOGY,Biology & Biochemistry,SCIE
MICROBIOLOGY,Biology & Biochemistry,ESCI
MICROSCOPY,Engineering;Multidisciplinary,SCIE
MINERALOGY,Chemistry;Geosciences;Physics,SCIE
MINERALOGY,Chemistry;Geosciences;Physics,ESCI
MINING & MINERAL PROCESSING,Engineering;Geosciences,SCIE
MINING & MINERAL PROCESSING,Engineering;Geosciences,ESCI
MULTIDISCIPLINARY SCIENCES,Multidisciplinary,SCIE
MULTIDISCIPLINARY SCIENCES,Multidisciplinary,ESCI
MUSIC,Visual & Performing Arts,AHCI
MUSIC,Visual & Performing Arts,ESCI
MYCOLOGY,Biology & Biochemistry;Plant & Animal Science,SCIE
MYCOLOGY,Biology & Biochemistry;Plant & Animal Science,ESCI
NANOSCIENCE & NANOTECHNOLOGY,Chemistry;Materials Science;Multidisciplinary;Physics,SCIE
NANOSCIENCE & NANOTECHNOLOGY,Chemistry;Materials Science;Multidisciplinary;Physics,ESCI
NEUROIMAGING,Clinical Medicine,SCIE
NEUROIMAGING,Clinical Medicine,ESCI
NEUROSCIENCES,Biology & Biochemistry;Clinical Medicine,SCIE
NEUROSCIENCES,Biology & Biochemistry;Clinical Medicine,ESCI
NUCLEAR SCIENCE & TECHNOLOGY,Engineering;Physics,SCIE
NUCLEAR SCIENCE & TECHNOLOGY,Engineering;Physics,ESCI
NURSING,"Clinical Medicine;Social Sciences, General",SCIE
NURSING,"Clinical Medicine;Social Sciences, General",SSCI
NURSING,"Clinical Medicine;Social Sciences, General",ESCI
NUTRITION & DIETETICS,Clinical Medicine,SCIE
NUTRITION & DIETETICS,Clinical Medicine,ESCI
OBSTETRICS & GYNECOLOGY,Clinical Medicine,SCIE
OBSTETRICS & GYNECOLOGY,Clinical Medicine,ESCI
OCEANOGRAPHY,Chemistry;Geosciences;Physics,SCIE
OCEANOGRAPHY,Chemistry;Geosciences;Physics,ESCI
ONCOLOGY,Clinical Medicine,SCIE
ONCOLOGY,Clinical Medicine,ESCI
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Economics & Business;Engineering;Mathematics,SCIE
OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Economics & Business;Engineering;Mathematics,ESCI
OPHTHALMOLOGY,Clinical Medicine,SCIE
OPHTHALMOLOGY,Clinical Medicine,ESCI
OPTICS,Engineering;Physics,SCIE
OPTICS,Engineering;Physics,ESCI
ORNITHOLOGY,Plant & Animal Science,SCIE
ORTHOPEDICS,Clinical Medicine,SCIE
ORTHOPEDICS,Clinical Medicine,ESCI
OTORHINOLARYNGOLOGY,Clinical Medicine,SCIE
OTORHINOLARYNGOLOGY,Clinical Medicine,ESCI
PALEONTOLOGY,Geosciences,SCIE
PALEONTOLOGY,Geosciences,ESCI
PARASITOLOGY,Biology & Biochemistry;Plant & Animal Science,SCIE
PARASITOLOGY,Biology & Biochemistry;Plant & Animal Science,ESCI
PATHOLOGY,Biology & Biochemistry;Clinical Medicine,SCIE
PATHOLOGY,Biology & Biochemistry;Clinical Medicine,ESCI
PEDIATRICS,Clinical Medicine,SCIE
PEDIATRICS,Clinical Medicine,ESCI
PERIPHERAL VASCULAR DISEASE,Clinical Medicine,SCIE
PERIPHERAL VASCULAR DISEASE,Clinical Medicine,ESCI
PHARMACOLOGY & PHARMACY,Biology & Biochemistry;Chemistry;Clinical Medicine,SCIE
PHARMACOLOGY & PHARMACY,Biology & Biochemistry;Chemistry;Clinical Medicine,ESCI
PHILOSOPHY,Philosophy & Religion,AHCI
PHILOSOPHY,Philosophy & Religion,ESCI
"PHYSICS, APPLIED",Multidisciplinary;Physics,SCIE
"PHYSICS, APPLIED",Multidisciplinary;Physics,ESCI
